"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","Unknown","2003990"
"getNextPvId()","","","XXXY Syndrome","2003990"
"getNextPvId()","","","Penta X Syndrome","2003990"
"getNextPvId()","","","Mosaic including XXXXY","2003990"
"getNextPvId()","","","XY","2003990"
"getNextPvId()","","","Klinefelter's Syndrome","2003990"
"getNextPvId()","","","XX","2003990"
"getNextPvId()","","","XXX","2003990"
"getNextPvId()","","","XXYY Syndrome","2003990"
"getNextPvId()","","","Not Specified","2003990"
