"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","Quantity Not Sufficient","2003994"
"getNextPvId()","","","Cauterized","2003994"
"getNextPvId()","","","Unacceptable, Not Specified","2003994"
"getNextPvId()","","","Hemorrhagic","2003994"
"getNextPvId()","","","Lipemic","2003994"
"getNextPvId()","","","Frozen","2003994"
"getNextPvId()","","","Not Specified","2003994"
"getNextPvId()","","","Damaged","2003994"
"getNextPvId()","","","Thawed","2003994"
"getNextPvId()","","","Clotted","2003994"
"getNextPvId()","","","Hemolyzed","2003994"
"getNextPvId()","","","Acceptable","2003994"
"getNextPvId()","","","Necrotic","2003994"
