"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","Rectum, NOS","Tissue_Site_PID"
"getNextPvId()","","","Esophagus, NOS","Tissue_Site_PID"
"getNextPvId()","","","Middle third of esophagus","Tissue_Site_PID"
"getNextPvId()","","","Lower third of esophagus","Tissue_Site_PID"
"getNextPvId()","","","Abdominal esophagus","Tissue_Site_PID"
"getNextPvId()","","","Upper third of esophagus","Tissue_Site_PID"
"getNextPvId()","","","Thoracic esophagus","Tissue_Site_PID"
"getNextPvId()","","","Cervical esophagus","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of esophagus","Tissue_Site_PID"
"getNextPvId()","","","Hepatic flexure of colon","Tissue_Site_PID"
"getNextPvId()","","","Colon, NOS","Tissue_Site_PID"
"getNextPvId()","","","Descending colon","Tissue_Site_PID"
"getNextPvId()","","","Cecum","Tissue_Site_PID"
"getNextPvId()","","","Sigmoid colon","Tissue_Site_PID"
"getNextPvId()","","","Splenic flexure of colon","Tissue_Site_PID"
"getNextPvId()","","","Ascending colon","Tissue_Site_PID"
"getNextPvId()","","","Transverse colon","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of colon","Tissue_Site_PID"
"getNextPvId()","","","Appendix","Tissue_Site_PID"
"getNextPvId()","","","Gallbladder","Tissue_Site_PID"
"getNextPvId()","","","Ampulla of Vater","Tissue_Site_PID"
"getNextPvId()","","","Biliary tract, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of biliary tract","Tissue_Site_PID"
"getNextPvId()","","","Extrahepatic bile duct","Tissue_Site_PID"
"getNextPvId()","","","Intrahepatic bile duct","Tissue_Site_PID"
"getNextPvId()","","","Liver","Tissue_Site_PID"
"getNextPvId()","","","Rectosigmoid junction","Tissue_Site_PID"
"getNextPvId()","","","Pancreatic duct","Tissue_Site_PID"
"getNextPvId()","","","Tail of pancreas","Tissue_Site_PID"
"getNextPvId()","","","Pancreas, NOS","Tissue_Site_PID"
"getNextPvId()","","","Other specified parts of pancreas","Tissue_Site_PID"
"getNextPvId()","","","Islets of Langerhans","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of pancreas","Tissue_Site_PID"
"getNextPvId()","","","Body of pancreas","Tissue_Site_PID"
"getNextPvId()","","","Head of pancreas","Tissue_Site_PID"
"getNextPvId()","","","Gastrointestinal tract, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of digestive system","Tissue_Site_PID"
"getNextPvId()","","","Intestinal tract, NOS","Tissue_Site_PID"
"getNextPvId()","","","Small intestine, NOS","Tissue_Site_PID"
"getNextPvId()","","","Duodenum","Tissue_Site_PID"
"getNextPvId()","","","Meckel's diverticulum","Tissue_Site_PID"
"getNextPvId()","","","Jejunum","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of small intestine","Tissue_Site_PID"
"getNextPvId()","","","Ileum","Tissue_Site_PID"
"getNextPvId()","","","Anus, NOS","Tissue_Site_PID"
"getNextPvId()","","","Anal canal","Tissue_Site_PID"
"getNextPvId()","","","Cloacogenic zone","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of rectum, anus and anal canal","Tissue_Site_PID"
"getNextPvId()","","","Stomach, NOS","Tissue_Site_PID"
"getNextPvId()","","","Greater curvature of stomach, NOS","Tissue_Site_PID"
"getNextPvId()","","","Fundus of stomach","Tissue_Site_PID"
"getNextPvId()","","","Pylorus","Tissue_Site_PID"
"getNextPvId()","","","Cardia, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of stomach","Tissue_Site_PID"
"getNextPvId()","","","Lesser curvature of stomach, NOS","Tissue_Site_PID"
"getNextPvId()","","","Gastric antrum","Tissue_Site_PID"
"getNextPvId()","","","Body of stomach","Tissue_Site_PID"
"getNextPvId()","","","Skin of other and unspecified parts of face","Tissue_Site_PID"
"getNextPvId()","","","Skin, NOS","Tissue_Site_PID"
"getNextPvId()","","","Skin of upper limb and shoulder","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of skin","Tissue_Site_PID"
"getNextPvId()","","","Skin of lower limb and hip","Tissue_Site_PID"
"getNextPvId()","","","External ear","Tissue_Site_PID"
"getNextPvId()","","","Eyelid","Tissue_Site_PID"
"getNextPvId()","","","Skin of lip, NOS","Tissue_Site_PID"
"getNextPvId()","","","Skin of trunk","Tissue_Site_PID"
"getNextPvId()","","","Skin of scalp and neck","Tissue_Site_PID"
"getNextPvId()","","","Scrotum, NOS","Tissue_Site_PID"
"getNextPvId()","","","Male genital organs, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of male genital organs","Tissue_Site_PID"
"getNextPvId()","","","Epididymis","Tissue_Site_PID"
"getNextPvId()","","","Spermatic cord","Tissue_Site_PID"
"getNextPvId()","","","Other specified parts of male genital organs","Tissue_Site_PID"
